Area Prefix	Area Name
35551461	Albania - AMC
3555263	Albania - AMC
3555264	Albania - AMC
3555370	Albania - AMC
3555490	Albania - AMC
3555491	Albania - AMC
3555540	Albania - AMC
35556150	Albania - AMC
35556240	Albania - AMC
35556293	Albania - AMC
35556340	Albania - AMC
35556445	Albania - AMC
35556465	Albania - AMC
35556550	Albania - AMC
35556583	Albania - AMC
35557043	Albania - AMC
35557070	Albania - AMC
35557094	Albania - AMC
35557180	Albania - AMC
35557260	Albania - AMC
35557390	Albania - AMC
35557463	Albania - AMC
35557464	Albania - AMC
35557543	Albania - AMC
35557544	Albania - AMC
35557584	Albania - AMC
35557643	Albania - AMC
35557644	Albania - AMC
35557683	Albania - AMC
35557770	Albania - AMC
35557771	Albania - AMC
35557843	Albania - AMC
35557865	Albania - AMC
35557943	Albania - AMC
35557963	Albania - AMC
35557993	Albania - AMC
35558023	Albania - AMC
35558073	Albania - AMC
35558150	Albania - AMC
35558151	Albania - AMC
35558250	Albania - AMC
35558323	Albania - AMC
35558373	Albania - AMC
35558424	Albania - AMC
35558460	Albania - AMC
35558484	Albania - AMC
35558494	Albania - AMC
35558540	Albania - AMC
35558564	Albania - AMC
35558580	Albania - AMC
35558594	Albania - AMC
35558624	Albania - AMC
35558670	Albania - AMC
35558693	Albania - AMC
35558724	Albania - AMC
35558764	Albania - AMC
35558790	Albania - AMC
35558824	Albania - AMC
35558842	Albania - AMC
35558852	Albania - AMC
35558882	Albania - AMC
35558924	Albania - AMC
35558953	Albania - AMC
35558983	Albania - AMC
35559150	Albania - AMC
35559240	Albania - AMC
35559324	Albania - AMC
35559360	Albania - AMC
35559394	Albania - AMC
35559424	Albania - AMC
35559462	Albania - AMC
35559492	Albania - AMC
35559540	Albania - AMC
35559572	Albania - AMC
35559622	Albania - AMC
35559664	Albania - AMC
35559674	Albania - AMC
35559684	Albania - AMC
35559694	Albania - AMC
35559722	Albania - AMC
35559754	Albania - AMC
35559770	Albania - AMC
35559794	Albania - AMC
35572780	Albania - AMC
35581140	Albania - AMC
35581141	Albania - AMC
35581240	Albania - AMC
35581241	Albania - AMC
35581340	Albania - AMC
35581341	Albania - AMC
35581450	Albania - AMC
35581451	Albania - AMC
35581540	Albania - AMC
3558290	Albania - AMC
3558291	Albania - AMC
3558340	Albania - AMC
3558460	Albania - AMC
3558550	Albania - AMC
35586022	Albania - AMC
35586070	Albania - AMC
35586082	Albania - AMC
35586150	Albania - AMC
35586260	Albania - AMC
35586344	Albania - AMC
35586372	Albania - AMC
35586424	Albania - AMC
35586462	Albania - AMC
35586472	Albania - AMC
35586494	Albania - AMC
35586524	Albania - AMC
35586572	Albania - AMC
35586582	Albania - AMC
35586622	Albania - AMC
35586672	Albania - AMC
35586750	Albania - AMC
35586796	Albania - AMC
35586850	Albania - AMC
35586892	Albania - AMC
35586922	Albania - AMC
35586972	Albania - AMC
35587150	Albania - AMC
35587151	Albania - AMC
35587174	Albania - AMC
35587184	Albania - AMC
35587194	Albania - AMC
35587224	Albania - AMC
35587270	Albania - AMC
35587294	Albania - AMC
35587322	Albania - AMC
35587392	Albania - AMC
35587442	Albania - AMC
35587482	Albania - AMC
35587540	Albania - AMC
35587622	Albania - AMC
35587652	Albania - AMC
35587672	Albania - AMC
35587692	Albania - AMC
35587722	Albania - AMC
35587760	Albania - AMC
35587790	Albania - AMC
35588140	Albania - AMC
35588194	Albania - AMC
35588222	Albania - AMC
35588262	Albania - AMC
35588274	Albania - AMC
35588294	Albania - AMC
35588324	Albania - AMC
35588364	Albania - AMC
35588372	Albania - AMC
35588392	Albania - AMC
35588420	Albania - AMC
35588440	Albania - AMC
35588480	Albania - AMC
35588540	Albania - AMC
35588590	Albania - AMC
35588640	Albania - AMC
35588682	Albania - AMC
35588692	Albania - AMC
35588722	Albania - AMC
35588750	Albania - AMC
35588770	Albania - AMC
35588790	Albania - AMC
35589140	Albania - AMC
35589164	Albania - AMC
35589192	Albania - AMC
35589224	Albania - AMC
35589280	Albania - AMC
35589324	Albania - AMC
35589422	Albania - AMC
35589480	Albania - AMC
35589524	Albania - AMC
35589562	Albania - AMC
35589590	Albania - AMC
355422	Albania - Tirana
355423	Albania - Tirana
355424	Albania - Tirana
213	Algeria
2136	Algeria Mobile
21396190	Algeria Mobile
21396191	Algeria Mobile
21396192	Algeria Mobile
21370	Algeria Mobile - Djezzy
21376	Algeria Mobile - Djezzy
21377	Algeria Mobile - Djezzy
21378	Algeria Mobile - Djezzy
21379	Algeria Mobile - Djezzy
2135	Algeria Mobile - Ooredoo
21321	Algeria - Algiers
1684	American Samoa
16842	American Samoa Mobile
168473	American Samoa Mobile
376	Andorra
3763	Andorra Mobile
3764	Andorra Mobile
3765	Andorra Mobile
3766	Andorra Mobile
244	Angola
24491	Angola Mobile - Movicel
24499	Angola Mobile - Movicel
24492	Angola Mobile - Unitel
24493	Angola Mobile - Unitel
24494	Angola Mobile - Unitel
1264	Anguilla
1264235	Anguilla Mobile
1264469	Anguilla Mobile
1264476	Anguilla Mobile
1264536	Anguilla Mobile
1264537	Anguilla Mobile
1264538	Anguilla Mobile
1264539	Anguilla Mobile
1264543	Anguilla Mobile
126458	Anguilla Mobile
1264729	Anguilla Mobile
1264772	Anguilla Mobile
1264581	Anguilla Mobile - Digicel
1264582	Anguilla Mobile - Digicel
1264583	Anguilla Mobile - Digicel
1264584	Anguilla Mobile - Digicel
672	Antarctica
6723	Antarctica - Norfolk Island
1268	Antigua And Barbuda
1268464	Antigua And Barbuda Mobile
1268716	Antigua And Barbuda Mobile
1268717	Antigua And Barbuda Mobile
1268718	Antigua And Barbuda Mobile
1268719	Antigua And Barbuda Mobile
126872	Antigua And Barbuda Mobile
1268732	Antigua And Barbuda Mobile
1268734	Antigua And Barbuda Mobile
1268736	Antigua And Barbuda Mobile
1268764	Antigua And Barbuda Mobile
126877	Antigua And Barbuda Mobile
126878	Antigua And Barbuda Mobile
1268720	Antigua And Barbuda Mobile - Digicel
1268721	Antigua And Barbuda Mobile - Digicel
1268722	Antigua And Barbuda Mobile - Digicel
1268724	Antigua And Barbuda Mobile - Digicel
1268725	Antigua And Barbuda Mobile - Digicel
1268726	Antigua And Barbuda Mobile - Digicel
1268783	Antigua And Barbuda Mobile - Digicel
1268785	Antigua And Barbuda Mobile - Digicel
1268788	Antigua And Barbuda Mobile - Digicel
54	Argentina
549	Argentina Mobile
54911	Argentina Mobile - Buenos Aires
549112044	Argentina Mobile - Buenos Aires Claro
549112045	Argentina Mobile - Buenos Aires Claro
549112046	Argentina Mobile - Buenos Aires Claro
549112047	Argentina Mobile - Buenos Aires Claro
549112048	Argentina Mobile - Buenos Aires Claro
549112154	Argentina Mobile - Buenos Aires Claro
549112155	Argentina Mobile - Buenos Aires Claro
549112156	Argentina Mobile - Buenos Aires Claro
549112157	Argentina Mobile - Buenos Aires Claro
549112158	Argentina Mobile - Buenos Aires Claro
549112159	Argentina Mobile - Buenos Aires Claro
54911216	Argentina Mobile - Buenos Aires Claro
54911217	Argentina Mobile - Buenos Aires Claro
54911218	Argentina Mobile - Buenos Aires Claro
549112190	Argentina Mobile - Buenos Aires Claro
549112191	Argentina Mobile - Buenos Aires Claro
549112192	Argentina Mobile - Buenos Aires Claro
549112193	Argentina Mobile - Buenos Aires Claro
54911263	Argentina Mobile - Buenos Aires Claro
54911264	Argentina Mobile - Buenos Aires Claro
54911265	Argentina Mobile - Buenos Aires Claro
54911266	Argentina Mobile - Buenos Aires Claro
54911267	Argentina Mobile - Buenos Aires Claro
54911268	Argentina Mobile - Buenos Aires Claro
54911269	Argentina Mobile - Buenos Aires Claro
5491127	Argentina Mobile - Buenos Aires Claro
54911280	Argentina Mobile - Buenos Aires Claro
549112810	Argentina Mobile - Buenos Aires Claro
549112811	Argentina Mobile - Buenos Aires Claro
549112812	Argentina Mobile - Buenos Aires Claro
549112813	Argentina Mobile - Buenos Aires Claro
549112814	Argentina Mobile - Buenos Aires Claro
549113226	Argentina Mobile - Buenos Aires Claro
549113227	Argentina Mobile - Buenos Aires Claro
549113228	Argentina Mobile - Buenos Aires Claro
549113229	Argentina Mobile - Buenos Aires Claro
54911323	Argentina Mobile - Buenos Aires Claro
54911324	Argentina Mobile - Buenos Aires Claro
54911325	Argentina Mobile - Buenos Aires Claro
54911326	Argentina Mobile - Buenos Aires Claro
54911327	Argentina Mobile - Buenos Aires Claro
54911328	Argentina Mobile - Buenos Aires Claro
54911329	Argentina Mobile - Buenos Aires Claro
54911330	Argentina Mobile - Buenos Aires Claro
54911331	Argentina Mobile - Buenos Aires Claro
54911332	Argentina Mobile - Buenos Aires Claro
54911333	Argentina Mobile - Buenos Aires Claro
54911334	Argentina Mobile - Buenos Aires Claro
54911335	Argentina Mobile - Buenos Aires Claro
54911336	Argentina Mobile - Buenos Aires Claro
549113370	Argentina Mobile - Buenos Aires Claro
549113371	Argentina Mobile - Buenos Aires Claro
549113372	Argentina Mobile - Buenos Aires Claro
549113373	Argentina Mobile - Buenos Aires Claro
549113374	Argentina Mobile - Buenos Aires Claro
549113375	Argentina Mobile - Buenos Aires Claro
54911371592	Argentina Mobile - Buenos Aires Claro
549113755	Argentina Mobile - Buenos Aires Claro
549113756	Argentina Mobile - Buenos Aires Claro
549113757	Argentina Mobile - Buenos Aires Claro
549113758	Argentina Mobile - Buenos Aires Claro
549113759	Argentina Mobile - Buenos Aires Claro
54911376	Argentina Mobile - Buenos Aires Claro
54911377	Argentina Mobile - Buenos Aires Claro
54911378	Argentina Mobile - Buenos Aires Claro
54911379	Argentina Mobile - Buenos Aires Claro
54911380	Argentina Mobile - Buenos Aires Claro
54911381	Argentina Mobile - Buenos Aires Claro
54911382	Argentina Mobile - Buenos Aires Claro
549113830	Argentina Mobile - Buenos Aires Claro
549113831	Argentina Mobile - Buenos Aires Claro
549113832	Argentina Mobile - Buenos Aires Claro
549113833	Argentina Mobile - Buenos Aires Claro
549113834	Argentina Mobile - Buenos Aires Claro
549114150	Argentina Mobile - Buenos Aires Claro
549115001	Argentina Mobile - Buenos Aires Claro
549115002	Argentina Mobile - Buenos Aires Claro
549115003	Argentina Mobile - Buenos Aires Claro
549115004	Argentina Mobile - Buenos Aires Claro
549115005	Argentina Mobile - Buenos Aires Claro
549115006	Argentina Mobile - Buenos Aires Claro
549115007	Argentina Mobile - Buenos Aires Claro
549115008	Argentina Mobile - Buenos Aires Claro
549115009	Argentina Mobile - Buenos Aires Claro
54911501	Argentina Mobile - Buenos Aires Claro
549115020	Argentina Mobile - Buenos Aires Claro
549115021	Argentina Mobile - Buenos Aires Claro
549115022	Argentina Mobile - Buenos Aires Claro
549115023	Argentina Mobile - Buenos Aires Claro
549115024	Argentina Mobile - Buenos Aires Claro
549115025	Argentina Mobile - Buenos Aires Claro
54911540	Argentina Mobile - Buenos Aires Claro
54911541	Argentina Mobile - Buenos Aires Claro
549115420	Argentina Mobile - Buenos Aires Claro
549115421	Argentina Mobile - Buenos Aires Claro
549115422	Argentina Mobile - Buenos Aires Claro
549115423	Argentina Mobile - Buenos Aires Claro
549115424	Argentina Mobile - Buenos Aires Claro
549115454	Argentina Mobile - Buenos Aires Claro
549115455	Argentina Mobile - Buenos Aires Claro
549115456	Argentina Mobile - Buenos Aires Claro
549115457	Argentina Mobile - Buenos Aires Claro
549115458	Argentina Mobile - Buenos Aires Claro
549115459	Argentina Mobile - Buenos Aires Claro
549115460	Argentina Mobile - Buenos Aires Claro
549115461	Argentina Mobile - Buenos Aires Claro
549115462	Argentina Mobile - Buenos Aires Claro
549115463	Argentina Mobile - Buenos Aires Claro
549115507	Argentina Mobile - Buenos Aires Claro
549115508	Argentina Mobile - Buenos Aires Claro
549115509	Argentina Mobile - Buenos Aires Claro
549115511	Argentina Mobile - Buenos Aires Claro
549115512	Argentina Mobile - Buenos Aires Claro
549115513	Argentina Mobile - Buenos Aires Claro
549115514	Argentina Mobile - Buenos Aires Claro
549115515	Argentina Mobile - Buenos Aires Claro
549115516	Argentina Mobile - Buenos Aires Claro
549115517	Argentina Mobile - Buenos Aires Claro
549115591	Argentina Mobile - Buenos Aires Claro
549115592	Argentina Mobile - Buenos Aires Claro
549115593	Argentina Mobile - Buenos Aires Claro
549115594	Argentina Mobile - Buenos Aires Claro
549115595	Argentina Mobile - Buenos Aires Claro
549115596	Argentina Mobile - Buenos Aires Claro
549115597	Argentina Mobile - Buenos Aires Claro
549115598	Argentina Mobile - Buenos Aires Claro
549115599	Argentina Mobile - Buenos Aires Claro
549115625	Argentina Mobile - Buenos Aires Claro
549115626	Argentina Mobile - Buenos Aires Claro
549115629	Argentina Mobile - Buenos Aires Claro
549115640	Argentina Mobile - Buenos Aires Claro
549115641	Argentina Mobile - Buenos Aires Claro
549115642	Argentina Mobile - Buenos Aires Claro
549115643	Argentina Mobile - Buenos Aires Claro
549115644	Argentina Mobile - Buenos Aires Claro
549115645	Argentina Mobile - Buenos Aires Claro
549115646	Argentina Mobile - Buenos Aires Claro
549115647	Argentina Mobile - Buenos Aires Claro
549115717	Argentina Mobile - Buenos Aires Claro
549115718	Argentina Mobile - Buenos Aires Claro
549115719	Argentina Mobile - Buenos Aires Claro
54911572	Argentina Mobile - Buenos Aires Claro
54911573	Argentina Mobile - Buenos Aires Claro
549115740	Argentina Mobile - Buenos Aires Claro
549115741	Argentina Mobile - Buenos Aires Claro
549115742	Argentina Mobile - Buenos Aires Claro
549115743	Argentina Mobile - Buenos Aires Claro
549115744	Argentina Mobile - Buenos Aires Claro
549115745	Argentina Mobile - Buenos Aires Claro
549115746	Argentina Mobile - Buenos Aires Claro
549115767	Argentina Mobile - Buenos Aires Claro
549115768	Argentina Mobile - Buenos Aires Claro
549115769	Argentina Mobile - Buenos Aires Claro
549115771	Argentina Mobile - Buenos Aires Claro
549115772	Argentina Mobile - Buenos Aires Claro
549115773	Argentina Mobile - Buenos Aires Claro
549115774	Argentina Mobile - Buenos Aires Claro
549115780	Argentina Mobile - Buenos Aires Claro
549115781	Argentina Mobile - Buenos Aires Claro
549115782	Argentina Mobile - Buenos Aires Claro
549115854	Argentina Mobile - Buenos Aires Claro
549115855	Argentina Mobile - Buenos Aires Claro
549115856	Argentina Mobile - Buenos Aires Claro
549115857	Argentina Mobile - Buenos Aires Claro
549115858	Argentina Mobile - Buenos Aires Claro
549115859	Argentina Mobile - Buenos Aires Claro
549115860	Argentina Mobile - Buenos Aires Claro
549115862	Argentina Mobile - Buenos Aires Claro
549115863	Argentina Mobile - Buenos Aires Claro
549115864	Argentina Mobile - Buenos Aires Claro
549115865	Argentina Mobile - Buenos Aires Claro
549115866	Argentina Mobile - Buenos Aires Claro
549115867	Argentina Mobile - Buenos Aires Claro
549115868	Argentina Mobile - Buenos Aires Claro
549115869	Argentina Mobile - Buenos Aires Claro
54911587	Argentina Mobile - Buenos Aires Claro
54911588	Argentina Mobile - Buenos Aires Claro
54911589	Argentina Mobile - Buenos Aires Claro
549115900	Argentina Mobile - Buenos Aires Claro
549115902	Argentina Mobile - Buenos Aires Claro
549115903	Argentina Mobile - Buenos Aires Claro
549115904	Argentina Mobile - Buenos Aires Claro
549115905	Argentina Mobile - Buenos Aires Claro
549115906	Argentina Mobile - Buenos Aires Claro
549115907	Argentina Mobile - Buenos Aires Claro
549115908	Argentina Mobile - Buenos Aires Claro
549115909	Argentina Mobile - Buenos Aires Claro
549115910	Argentina Mobile - Buenos Aires Claro
549115911	Argentina Mobile - Buenos Aires Claro
549115912	Argentina Mobile - Buenos Aires Claro
549115913	Argentina Mobile - Buenos Aires Claro
549115914	Argentina Mobile - Buenos Aires Claro
549115915	Argentina Mobile - Buenos Aires Claro
54911601	Argentina Mobile - Buenos Aires Claro
54911602	Argentina Mobile - Buenos Aires Claro
54911603	Argentina Mobile - Buenos Aires Claro
54911612	Argentina Mobile - Buenos Aires Claro
54911613	Argentina Mobile - Buenos Aires Claro
54911620	Argentina Mobile - Buenos Aires Claro
54911621	Argentina Mobile - Buenos Aires Claro
54911622	Argentina Mobile - Buenos Aires Claro
54911623	Argentina Mobile - Buenos Aires Claro
54911640	Argentina Mobile - Buenos Aires Claro
54911641	Argentina Mobile - Buenos Aires Claro
54911642	Argentina Mobile - Buenos Aires Claro
54911643	Argentina Mobile - Buenos Aires Claro
549116637	Argentina Mobile - Buenos Aires Claro
549116638	Argentina Mobile - Buenos Aires Claro
549116639	Argentina Mobile - Buenos Aires Claro
54911664	Argentina Mobile - Buenos Aires Claro
54911665	Argentina Mobile - Buenos Aires Claro
54911666	Argentina Mobile - Buenos Aires Claro
54911667	Argentina Mobile - Buenos Aires Claro
54911668	Argentina Mobile - Buenos Aires Claro
549116690	Argentina Mobile - Buenos Aires Claro
549116691	Argentina Mobile - Buenos Aires Claro
549116692	Argentina Mobile - Buenos Aires Claro
549116693	Argentina Mobile - Buenos Aires Claro
549116694	Argentina Mobile - Buenos Aires Claro
549116695	Argentina Mobile - Buenos Aires Claro
549116696	Argentina Mobile - Buenos Aires Claro
549116811	Argentina Mobile - Buenos Aires Claro
549116812	Argentina Mobile - Buenos Aires Claro
549116813	Argentina Mobile - Buenos Aires Claro
549116814	Argentina Mobile - Buenos Aires Claro
549116815	Argentina Mobile - Buenos Aires Claro
549116816	Argentina Mobile - Buenos Aires Claro
549116817	Argentina Mobile - Buenos Aires Claro
549116818	Argentina Mobile - Buenos Aires Claro
549116819	Argentina Mobile - Buenos Aires Claro
54911682	Argentina Mobile - Buenos Aires Claro
54911683	Argentina Mobile - Buenos Aires Claro
549116840	Argentina Mobile - Buenos Aires Claro
5492202400	Argentina Mobile - Claro
549220251	Argentina Mobile - Claro
5492204700	Argentina Mobile - Claro
5492204701	Argentina Mobile - Claro
5492204715	Argentina Mobile - Claro
5492204716	Argentina Mobile - Claro
5492204717	Argentina Mobile - Claro
5492204718	Argentina Mobile - Claro
5492204719	Argentina Mobile - Claro
5492204725	Argentina Mobile - Claro
549220500	Argentina Mobile - Claro
549220501	Argentina Mobile - Claro
549221303	Argentina Mobile - Claro
549221304	Argentina Mobile - Claro
549221305	Argentina Mobile - Claro
549221306	Argentina Mobile - Claro
549221307	Argentina Mobile - Claro
549221308	Argentina Mobile - Claro
549221309	Argentina Mobile - Claro
549221310	Argentina Mobile - Claro
5492214307	Argentina Mobile - Claro
5492214308	Argentina Mobile - Claro
5492214309	Argentina Mobile - Claro
549221501	Argentina Mobile - Claro
549221502	Argentina Mobile - Claro
549221503	Argentina Mobile - Claro
549221531	Argentina Mobile - Claro
549221536	Argentina Mobile - Claro
549221542	Argentina Mobile - Claro
549221543	Argentina Mobile - Claro
549221546	Argentina Mobile - Claro
549221547	Argentina Mobile - Claro
549221548	Argentina Mobile - Claro
549221552	Argentina Mobile - Claro
549221570	Argentina Mobile - Claro
549221571	Argentina Mobile - Claro
549221572	Argentina Mobile - Claro
549221605	Argentina Mobile - Claro
549221610	Argentina Mobile - Claro
549221611	Argentina Mobile - Claro
549221620	Argentina Mobile - Claro
549221621	Argentina Mobile - Claro
549221622	Argentina Mobile - Claro
549221623	Argentina Mobile - Claro
549221624	Argentina Mobile - Claro
549221625	Argentina Mobile - Claro
549221626	Argentina Mobile - Claro
549221649	Argentina Mobile - Claro
5492216580	Argentina Mobile - Claro
5492216581	Argentina Mobile - Claro
5492216582	Argentina Mobile - Claro
549221661	Argentina Mobile - Claro
5492221400	Argentina Mobile - Claro
5492221401	Argentina Mobile - Claro
5492221402	Argentina Mobile - Claro
5492221403	Argentina Mobile - Claro
5492223428	Argentina Mobile - Claro
5492223429	Argentina Mobile - Claro
5492223430	Argentina Mobile - Claro
5492223431	Argentina Mobile - Claro
5492223432	Argentina Mobile - Claro
5492223451	Argentina Mobile - Claro
549222346	Argentina Mobile - Claro
5492223478	Argentina Mobile - Claro
5492223479	Argentina Mobile - Claro
549222350	Argentina Mobile - Claro
5492223510	Argentina Mobile - Claro
5492223511	Argentina Mobile - Claro
5492223512	Argentina Mobile - Claro
5492223513	Argentina Mobile - Claro
5492223514	Argentina Mobile - Claro
5492223525	Argentina Mobile - Claro
5492223526	Argentina Mobile - Claro
5492223527	Argentina Mobile - Claro
5492223528	Argentina Mobile - Claro
5492223529	Argentina Mobile - Claro
5492223534	Argentina Mobile - Claro
5492223540	Argentina Mobile - Claro
5492223551	Argentina Mobile - Claro
5492223574	Argentina Mobile - Claro
5492223575	Argentina Mobile - Claro
5492223576	Argentina Mobile - Claro
549222444	Argentina Mobile - Claro
5492224451	Argentina Mobile - Claro
5492224455	Argentina Mobile - Claro
5492224456	Argentina Mobile - Claro
549222446	Argentina Mobile - Claro
5492224480	Argentina Mobile - Claro
5492224481	Argentina Mobile - Claro
5492224483	Argentina Mobile - Claro
5492224484	Argentina Mobile - Claro
5492224485	Argentina Mobile - Claro
5492224486	Argentina Mobile - Claro
5492224488	Argentina Mobile - Claro
5492224492	Argentina Mobile - Claro
5492224493	Argentina Mobile - Claro
5492224495	Argentina Mobile - Claro
5492224496	Argentina Mobile - Claro
5492224497	Argentina Mobile - Claro
5492224498	Argentina Mobile - Claro
5492224499	Argentina Mobile - Claro
5492224500	Argentina Mobile - Claro
5492224501	Argentina Mobile - Claro
5492224502	Argentina Mobile - Claro
5492224503	Argentina Mobile - Claro
5492224504	Argentina Mobile - Claro
5492224505	Argentina Mobile - Claro
549222453	Argentina Mobile - Claro
549222454	Argentina Mobile - Claro
549222455	Argentina Mobile - Claro
5492224570	Argentina Mobile - Claro
5492224571	Argentina Mobile - Claro
